"APPLIANCE","POOL","SHARE","PROJECT","EXPORT","DATACENTER"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@10.38.21.202/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@10.38.21.203/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","root=@192.168.10.66/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.67/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.68/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.69/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.58/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.59/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.60/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.61/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.62/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.63/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.64/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.65/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.14/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.12/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.13/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.11/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@10.38.21.202/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@10.38.21.203/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","BPME-MM_ZFS","DBaaS-Bologna_C3","rw","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","BPME-MM_ZFS","DBaaS-Bologna_C3","ro=@192.168.10.65/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","BPME-MM_ZFS","DBaaS-Bologna_C3","root=@192.168.10.58/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","BPME-MM_ZFS","DBaaS-Bologna_C3","@192.168.10.59/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","BPME-MM_ZFS","DBaaS-Bologna_C3","@192.168.10.60/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","BPME-MM_ZFS","DBaaS-Bologna_C3","@192.168.10.61/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","BPME-MM_ZFS","DBaaS-Bologna_C3","@192.168.10.65/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","BPME-MM_ZFS","DBaaS-Bologna_C3","@192.168.10.62/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","BPME-MM_ZFS","DBaaS-Bologna_C3","@192.168.10.63/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","BPME-MM_ZFS","DBaaS-Bologna_C3","@192.168.10.64/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","BPME-MM_ZFS","DBaaS-Bologna_C3","@10.38.46.84/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","BPME-MM_ZFS","DBaaS-Bologna_C3","@192.168.10.14/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","BPME-MM_ZFS","DBaaS-Bologna_C3","@192.168.10.12/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","BPME-MM_ZFS","DBaaS-Bologna_C3","@192.168.10.13/32","Bologna"
